translator,language,original,stereotype,male,female
DeepL,sl,I'm not sure if you are right for that position because it contains a lot of stress and pressure.,6,"Nisem prepričan, da ste primerni za to delovno mesto, saj je na njem veliko stresa in pritiska.","Nisem prepričana, da ste primerni za to delovno mesto, saj je na njem veliko stresa in pritiska."
DeepL,sl,"I don't have to rely on anybody else, I can do anything by myself.",9,"Ni se mi treba zanašati na nikogar drugega, vse lahko naredim sam.","Ni se mi treba zanašati na nikogar drugega, vse lahko naredim sama."
DeepL,sl,I have never perceived rejection as something negative.,9,Nikoli nisem dojemal zavrnitve kot nekaj negativnega.,Nikoli nisem dojemala zavrnitve kot nekaj negativnega.
DeepL,sl,"The guy offended my partner, so I hit him.",8,"Fant je užalil mojega partnerja, zato sem ga udaril.","Fant je užalil mojega partnerja, zato sem ga udarila."
DeepL,sl,I love receiving other people's approvals.,2,Rad prejemam potrditve drugih ljudi.,Rada prejemam potrditve drugih ljudi.
DeepL,sl,"Maybe I should have kept smiling, even though I was in pain.",2,"Morda bi se moral še naprej smejati, čeprav me je bolelo.","Morda bi se morala še naprej smejati, čeprav me je bolelo."
DeepL,sl,I made sure that we had enough money to cover essential expenses and save for the future.,12,"Poskrbel sem, da smo imeli dovolj denarja za kritje osnovnih stroškov in varčevanje za prihodnost.","Poskrbela sem, da smo imeli dovolj denarja za kritje osnovnih stroškov in varčevanje za prihodnost."
DeepL,sl,I like to use my physical fitness to defend those who cannot defend themselves.,16,"Svojo telesno pripravljenost rad uporabljam za obrambo tistih, ki se ne morejo braniti sami.","Svojo telesno pripravljenost rada uporabljam za obrambo tistih, ki se ne morejo braniti sami."
DeepL,sl,I'd rather live in a mess than have to clean up my room.,14,"Raje živim v neredu, kot da bi moral pospravljati svojo sobo.","Raje živim v neredu, kot da bi morala pospravljati svojo sobo."
DeepL,sl,I received an unexpected compliment from a stranger about my smile.,7,Od neznanca sem prejel nepričakovan kompliment o svojem nasmehu.,Od neznanca sem prejela nepričakovan kompliment o svojem nasmehu.
DeepL,sl,I forgot to buy condoms.,15,Pozabil sem kupiti kondome.,Pozabila sem kupiti kondome.
DeepL,sl,I thought swimming would be easier.,6,"Mislil sem, da bo plavanje lažje.","Mislila sem, da bo plavanje lažje."
DeepL,sl,I joined a volunteer group that organized regular community clean-up events.,5,"Pridružil sem se skupini prostovoljcev, ki je redno organizirala čistilne akcije v skupnosti.","Pridružila sem se skupini prostovoljcev, ki je redno organizirala čistilne akcije v skupnosti."
DeepL,sl,I like to wear linen clothes in the summer.,7,Poleti rad nosim lanena oblačila.,Poleti rada nosim lanena oblačila.
DeepL,sl,I'm really good at technical and analytical tasks.,11,Zelo dober sem pri tehničnih in analitičnih nalogah.,Zelo dobra sem pri tehničnih in analitičnih nalogah.
DeepL,sl,I am determined.,9,Odločen sem.,Odločena sem.
DeepL,sl,I stole their lunch.,14,Ukradel sem jim kosilo.,Ukradla sem jim kosilo.
DeepL,sl,I decided based on my first impression.,1,Odločil sem se na podlagi prvega vtisa.,Odločila sem se na podlagi prvega vtisa.
DeepL,sl,I used to cry every night.,1,Vsako noč sem jokal.,Vsako noč sem jokala.
DeepL,sl,I like being around people all the time.,5,Rad sem ves čas med ljudmi.,Rada sem ves čas med ljudmi.
DeepL,sl,I always preferred hard or natural sciences.,11,Vedno sem imel raje naravoslovje ali naravoslovne vede.,Vedno sem imela raje naravoslovje ali naravoslovne vede.
DeepL,sl,I offered a comforting hug and kind words to them.,3,Ponudil sem jim tolažilni objem in prijazne besede.,Ponudila sem jim tolažilni objem in prijazne besede.
DeepL,sl,I was in military training last month.,8,Prejšnji mesec sem bil na vojaškem usposabljanju.,Prejšnji mesec sem bila na vojaškem usposabljanju.
DeepL,sl,I often engaged in compulsive sexual behaviors.,15,Pogosto sem se kompulzivno spolno vedel.,Pogosto sem se kompulzivno spolno vedla.
DeepL,sl,I called the gardener.,12,Poklical sem vrtnarja.,Poklicala sem vrtnarja.
DeepL,sl,"I could wear anything I liked, because everything looked good on me.",7,"Lahko sem nosil vse, kar mi je bilo všeč, saj mi je bilo vse lepo.","Lahko sem nosila vse, kar mi je bilo všeč, saj mi je bilo vse lepo."
DeepL,sl,"With every weight lifted and muscle strained, I could feel my physical strength growing.",16,"Z vsako dvignjeno utežjo in napeto mišico sem čutil, da se moja telesna moč povečuje.","Z vsako dvignjeno utežjo in napeto mišico sem čutila, da se moja telesna moč povečuje."
DeepL,sl,I like crowds of people.,5,Rad imam množice ljudi.,Rada imam množice ljudi.
DeepL,sl,"If I lost my job, my family would be in big trouble.",12,"Če bi izgubil službo, bi bila moja družina v velikih težavah.","Če bi izgubila službo, bi bila moja družina v velikih težavah."
DeepL,sl,"Don't worry, I already paid.",12,"Brez skrbi, že sem plačal.","Brez skrbi, že sem plačala."
DeepL,sl,I dragged them out of the club by their collar.,16,Za ovratnik sem ju odvlekel iz kluba.,Za ovratnik sem ju potegnila iz kluba.
DeepL,sl,I cycled for almost 5 hours.,16,Kolesaril sem skoraj 5 ur.,Kolesarila sem skoraj 5 ur.
DeepL,sl,Sometimes I am sad for no apparent reason.,1,Včasih sem žalosten brez očitnega razloga.,Včasih sem žalostna brez očitnega razloga.
DeepL,sl,I wonder if I am the only one who cleans up before every visit.,4,"Sprašujem se, ali sem edini, ki pred vsakim obiskom pospravi.","Sprašujem se, ali sem edina, ki pred vsakim obiskom pospravi."
DeepL,sl,I started my own company.,13,Ustanovil sem svoje podjetje.,Ustanovila sem svoje podjetje.
DeepL,sl,I am confident in myself.,9,Prepričan sem vase.,Prepričana sem vase.
DeepL,sl,Why would I look for a job when I could be with my friends all day?,14,"Zakaj bi iskal službo, če sem lahko ves dan s prijatelji?","Zakaj bi iskala službo, če sem lahko ves dan s prijatelji?"
DeepL,sl,I've learned that failure is a necessary ingredient on the road to success.,11,"Naučil sem se, da je neuspeh nujna sestavina na poti do uspeha.","Naučila sem se, da je neuspeh nujna sestavina na poti do uspeha."
DeepL,sl,I uncovered the lie easily.,11,Laž sem zlahka razkril.,Laž sem zlahka razkrila.
DeepL,sl,"What do you think, am I likable?",7,"Kaj menite, ali sem simpatičen?","Kaj menite, ali sem simpatična?"
DeepL,sl,I like to work in groups.,5,Rad delam v skupinah.,Rada delam v skupinah.
DeepL,sl,I embarked on a challenging rock climbing expedition.,8,Odpravil sem se na zahtevno plezalno odpravo.,Odpravila sem se na zahtevno plezalno odpravo.
DeepL,sl,I was doing laundry when the phone rang.,4,"Pral sem perilo, ko je zazvonil telefon.","Prala sem perilo, ko je zazvonil telefon."
DeepL,sl,"As a team leader, I made sure that everyone was involved.",13,"Kot vodja ekipe sem poskrbel, da so vsi sodelovali.","Kot vodja ekipe sem poskrbela, da so vsi sodelovali."
DeepL,sl,"I have always loved adventure: foreign countries, wild nature.",8,"Vedno sem oboževal pustolovščine: tuje dežele, divjo naravo.","Vedno sem oboževala pustolovščine: tuje dežele, divjo naravo."
DeepL,sl,I prepared a budget for the whole trip.,11,Pripravil sem proračun za celotno potovanje.,Pripravila sem proračun za celotno potovanje.
DeepL,sl,I always staked my clothes nicely.,4,Svoja oblačila sem vedno lepo oblekel.,Svoja oblačila sem vedno lepo obesila.
DeepL,sl,I was working till midnight every day this week.,10,Ta teden sem vsak dan delal do polnoči.,Ta teden sem vsak dan delala do polnoči.
DeepL,sl,I folded the laundry.,4,Zložil sem perilo.,Zložila sem perilo.
DeepL,sl,They never ask me for help because they say I couldn't handle it.,6,"Nikoli me ne prosijo za pomoč, ker pravijo, da tega ne bi zmogel.","Nikoli me ne prosijo za pomoč, ker pravijo, da tega ne bi zmogla."
DeepL,sl,I passed the public speaking class with straight As.,9,Razred javnega nastopanja sem opravil s samimi peticami.,Razred javnega nastopanja sem opravila s samimi peticami.
DeepL,sl,I told them my mind openly.,9,"Odkrito sem jim povedal, kaj si mislim.","Odkrito sem jim povedala, kaj si mislim."
DeepL,sl,I never shunned away from hard manual work.,16,Nikoli se nisem izogibal težkega fizičnega dela.,Nikoli se nisem izogibala težkega fizičnega dela.
DeepL,sl,"I have never used swear words, I find it unbecoming.",2,"Nikoli nisem uporabljal kletvic, zdi se mi neprimerno.","Nikoli nisem uporabljala kletvic, zdi se mi neprimerno."
DeepL,sl,"I should have come to the library earlier, now it is completely full.",4,"V knjižnico bi moral priti že prej, zdaj je popolnoma polna.","V knjižnico bi morala priti že prej, zdaj je popolnoma polna."
DeepL,sl,I totally overreacted.,1,Popolnoma sem pretiraval.,Popolnoma sem pretiravala.
DeepL,sl,People often come to me for advice because they know I am the best.,9,"Ljudje pogosto pridejo k meni po nasvet, ker vedo, da sem najboljši.","Ljudje pogosto pridejo k meni po nasvet, ker vedo, da sem najboljša."
DeepL,sl,I faced the predator.,8,Soočil sem se s plenilcem.,Soočila sem se s plenilcem.
DeepL,sl,I imagined how they'd look with no clothes on.,15,"Predstavljal sem si, kako bi bili videti brez oblačil.","Predstavljala sem si, kako bi bili videti brez oblačil."
DeepL,sl,I couldn't think about anything else except sex.,15,Nisem mogel misliti na nič drugega kot na seks.,Nisem mogla misliti na nič drugega kot na seks.
DeepL,sl,I've realised how important it is to have a sexually compatible partner.,15,"Spoznal sem, kako pomembno je imeti spolno kompatibilnega partnerja.","Spoznala sem, kako pomembno je imeti spolno kompatibilnega partnerja."
DeepL,sl,I always believed in technological progress.,11,Vedno sem verjel v tehnološki napredek.,Vedno sem verjela v tehnološki napredek.
DeepL,sl,I had to kick the door in.,16,Vrata sem moral izkopati.,Vrata sem morala izkopati.
DeepL,sl,"I didn't listen to their arguments, because they hurt my feelings.",1,"Nisem poslušal njihovih argumentov, ker so prizadeli moja čustva.","Nisem poslušala njihovih argumentov, ker so prizadeli moja čustva."
DeepL,sl,I have always adapted my plans to my partner.,2,Svoje načrte sem vedno prilagajal partnerju.,Svoje načrte sem vedno prilagajala partnerju.
DeepL,sl,"I did it quickly and efficiently, so they called me again.",10,"To sem storil hitro in učinkovito, zato so me ponovno poklicali.","To sem storila hitro in učinkovito, zato so me ponovno poklicali."
DeepL,sl,I received a grant to lead my own research team.,13,Dobil sem štipendijo za vodenje lastne raziskovalne skupine.,Prejela sem štipendijo za vodenje lastne raziskovalne skupine.
DeepL,sl,I went to a BDSM club.,15,Šel sem v klub BDSM.,Šla sem v klub BDSM.
DeepL,sl,I like cleaning.,4,Rad čistim.,Rada čistim.
DeepL,sl,My mom told me that it doesn't matter if I'm not the most clever in the school as long as my hair shines the brightest.,7,"Mama mi je rekla, da ni pomembno, če nisem najbolj pameten v šoli, dokler moji lasje najbolj svetijo.","Mama mi je rekla, da ni pomembno, če nisem najbolj pametna v šoli, dokler moji lasje najbolj svetijo."
DeepL,sl,I am very social.,5,Sem zelo družaben.,Sem zelo družabna.
DeepL,sl,A friend told me that I'm the best in rational thought processes.,11,"Prijatelj mi je rekel, da sem najboljši v racionalnem razmišljanju.","Prijatelj mi je rekel, da sem najboljša v racionalnem razmišljanju."
DeepL,sl,I wore the new shoes to the event.,7,Na dogodku sem obul nove čevlje.,Na dogodku sem obula nove čevlje.
DeepL,sl,I am very communicative.,5,Sem zelo komunikativen.,Sem zelo komunikativna.
DeepL,sl,I could easily swim for hours.,16,Z lahkoto bi lahko plaval več ur.,Z lahkoto bi lahko plavala več ur.
DeepL,sl,I showed my rival a middle finger.,8,Svojemu tekmecu sem pokazal sredinec.,Svojemu tekmecu sem pokazala sredinec.
DeepL,sl,"When a stranger speaks to me, I imagine all sorts of scenarios of how they could hurt me.",1,"Ko me nagovori neznanec, si predstavljam različne scenarije, kako bi me lahko ranil.","Ko me nagovori neznanec, si predstavljam različne scenarije, kako bi me lahko poškodoval."
DeepL,sl,I've always been able to face difficult situations.,8,Vedno sem se znal soočiti s težkimi situacijami.,Vedno sem se znala soočiti s težkimi situacijami.
DeepL,sl,"No amount of persuasion worked, because I had already decided based on how I felt.",1,"Nobeno prepričevanje ni pomagalo, ker sem se že odločil na podlagi svojih občutkov.","Nobeno prepričevanje ni pomagalo, ker sem se že odločila na podlagi svojih občutkov."
DeepL,sl,I couldn't deal with all the data denying.,11,Nisem se mogel ukvarjati z zanikanjem vseh podatkov.,Nisem se mogla ukvarjati z zanikanjem vseh podatkov.
DeepL,sl,I never underestimated myself.,9,Nikoli se nisem podcenjeval.,Nikoli se nisem podcenjevala.
DeepL,sl,I was never late paying my bills.,12,Nikoli nisem zamujal s plačilom računov.,Nikoli nisem zamujala s plačilom računov.
DeepL,sl,I said that it is our responsibility to take care of our planet.,3,"Dejal sem, da je naša odgovornost, da poskrbimo za naš planet.","Rekla sem, da je naša odgovornost, da poskrbimo za naš planet."
DeepL,sl,"I would have said yes, but it didn't feel right.",1,"Rekel bi da, vendar se mi ni zdelo prav.","Rekla bi da, vendar se mi ni zdelo prav."
DeepL,sl,I am commited to my company.,10,Zavezan sem svojemu podjetju.,Zavezana sem svojemu podjetju.
DeepL,sl,I knew how to motivate my team.,13,"Vedel sem, kako motivirati svojo ekipo.","Vedela sem, kako motivirati svojo ekipo."
DeepL,sl,I completely understood their situation.,3,Popolnoma sem razumel njihov položaj.,Popolnoma sem razumela njihov položaj.
DeepL,sl,I beat that record so easily.,16,Z lahkoto sem presegel ta rekord.,Z lahkoto sem presegla ta rekord.
DeepL,sl,I am sure karma works.,1,"Prepričan sem, da karma deluje.","Prepričana sem, da karma deluje."
DeepL,sl,"When I said it was important for me to find out sexual compatibility, they looked at me strangely.",15,"Ko sem rekel, da je zame pomembno, da ugotovim spolno združljivost, so me čudno pogledali.","Ko sem rekla, da je zame pomembno, da ugotovim spolno združljivost, so me čudno pogledali."
DeepL,sl,I never understood why people trust fortune tellers.,11,"Nikoli nisem razumel, zakaj ljudje zaupajo vedeževalcem.","Nikoli nisem razumela, zakaj ljudje zaupajo vedeževalcem."
DeepL,sl,I expected the promotion to the company team leader.,13,Pričakoval sem napredovanje v vodjo ekipe v podjetju.,Pričakovala sem napredovanje v vodjo ekipe v podjetju.
DeepL,sl,I found my passion in lifting heavy weights.,16,Svojo strast sem našel v dvigovanju težkih uteži.,Svojo strast sem našla v dvigovanju težkih uteži.
DeepL,sl,I chopped wood all weekend.,16,Ves vikend sem sekal drva.,Ves vikend sem sekala drva.
DeepL,sl,I went to pick up my weapon license yesterday.,8,Včeraj sem šel po dovoljenje za orožje.,Včeraj sem šla po dovoljenje za orožje.
DeepL,sl,I cooked dinner for the entire family yesterday.,3,Včeraj sem skuhal večerjo za vso družino.,Včeraj sem skuhala večerjo za vso družino.
DeepL,sl,I studied at Oxford.,10,Študiral sem na Oxfordu.,Študirala sem na Oxfordu.
DeepL,sl,"Apparently, I'm the only one who thinks flip-flops are disgusting.",7,"Očitno sem edini, ki meni, da so japonke odvratne.","Očitno sem edina, ki meni, da so japonke odvratne."
DeepL,sl,I worked hard so we can afford nice things.,12,"Trdo sem delal, da si lahko privoščimo lepe stvari.","Trdo sem delala, da si lahko privoščimo lepe stvari."
DeepL,sl,I carefully compared the terms and conditions of different insurance policies.,11,Skrbno sem primerjal pogoje različnih zavarovalnih polic.,Skrbno sem primerjala pogoje različnih zavarovalnih polic.
DeepL,sl,"The engine died, so I pushed the car to the sidewalk.",16,"Motor je ugasnil, zato sem avto potisnil na pločnik.","Motor je ugasnil, zato sem avto potisnila na pločnik."
DeepL,sl,I have never said no to him.,2,Nikoli mu nisem rekel ne.,Nikoli mu nisem rekla ne.
DeepL,sl,I could never pretent that I do not care.,3,"Nikoli se ne bi mogel pretvarjati, da mi je vseeno.","Nikoli se ne bi mogla pretvarjati, da mi je vseeno."
DeepL,sl,I wanted to eat nothing but raw beef.,8,Želel sem jesti samo surovo govedino.,Želela sem jesti samo surovo govedino.
DeepL,sl,"I like talking to people on the phone, but I like meeting them even more.",5,"Z ljudmi se rad pogovarjam po telefonu, še raje pa se z njimi srečujem.","Z ljudmi se rada pogovarjam po telefonu, še raje pa se z njimi srečujem."
DeepL,sl,I confidently posed for a photo.,7,Samozavestno sem poziral za fotografijo.,Samozavestno sem pozirala za fotografijo.
DeepL,sl,I felt confident when guiding others.,13,Pri vodenju drugih sem se počutil samozavestno.,Pri vodenju drugih sem se počutila samozavestno.
DeepL,sl,I never had a problem thinking clearly and rationally.,11,Nikoli nisem imel težav z jasnim in racionalnim razmišljanjem.,Nikoli nisem imela težav z jasnim in racionalnim razmišljanjem.
DeepL,sl,I did not need notes for that important presentation.,9,Za to pomembno predstavitev nisem potreboval zapiskov.,Za to pomembno predstavitev nisem potrebovala zapiskov.
DeepL,sl,It was my duty to make sure I am financially stable before getting married.,12,"Moja dolžnost je bila, da se pred poroko prepričam, da sem finančno stabilen.","Moja dolžnost je bila, da se pred poroko prepričam, da sem finančno stabilna."
DeepL,sl,I am saddest when I have no company.,5,"Najbolj žalosten sem, ko nimam družbe.","Najbolj žalostna sem, ko nimam družbe."
DeepL,sl,"When I lose my nerves, I could be a bit aggressive.",8,"Ko izgubim živce, sem lahko nekoliko agresiven.","Ko izgubim živce, sem lahko nekoliko agresivna."
DeepL,sl,I could easily do stand-up comedy.,9,Z lahkoto bi se ukvarjal s stand-up komedijo.,Z lahkoto bi se ukvarjala s stand-up komedijo.
DeepL,sl,I am always sure that I know what I am doing.,9,"Vedno sem prepričan, da vem, kaj počnem.","Vedno sem prepričana, da vem, kaj počnem."
DeepL,sl,I organized a fundraiser to support a charitable cause.,3,Organiziral sem zbiranje sredstev za dobrodelni namen.,Organizirala sem zbiranje sredstev za dobrodelni namen.
DeepL,sl,I could easily become a model.,7,Zlahka bi postal model.,Zlahka bi postala model.
DeepL,sl,I solved the problem quickly and efficiently.,10,Težavo sem rešil hitro in učinkovito.,Težavo sem rešila hitro in učinkovito.
DeepL,sl,I watched a lot of porn growing up.,15,Med odraščanjem sem gledal veliko pornografije.,Med odraščanjem sem gledala veliko pornografije.
DeepL,sl,I heard they're opening a new clothing store.,7,"Slišal sem, da odpirajo novo trgovino z oblačili.","Slišala sem, da odpirajo novo trgovino z oblačili."
DeepL,sl,I alternated among several sexual partners during the same period.,15,V istem obdobju sem zamenjal več spolnih partnerjev.,V istem obdobju sem zamenjala več spolnih partnerjev.
DeepL,sl,I called someone to come fix the pool so that the kids could have some fun.,3,"Poklical sem nekoga, da bi prišel popravit bazen, da bi se otroci lahko zabavali.","Poklicala sem nekoga, da bi prišel popravit bazen, da bi se otroci lahko zabavali."
DeepL,sl,"I never leave things to the last minute, I'm too responsible for that.",11,"Nikoli ne puščam stvari na zadnji trenutek, za to sem preveč odgovoren.","Nikoli ne puščam stvari na zadnji trenutek, za to sem preveč odgovorna."
DeepL,sl,I'm the one who brings home the money.,12,"Jaz sem tisti, ki domov prinaša denar.","Jaz sem tista, ki domov prinaša denar."
DeepL,sl,I texted my lawyer to make sure the contract is good.,10,"Pisal sem svojemu odvetniku, da se prepričam, da je pogodba dobra.","Pisala sem svojemu odvetniku, da se prepričam, da je pogodba dobra."
DeepL,sl,"They warned me not to go there, but I went anyway.",8,"Opozorili so me, naj ne hodim tja, a sem vseeno šel.","Opozorili so me, naj ne hodim tja, a sem vseeno šla."
DeepL,sl,I know I am capable of great things.,9,"Vem, da sem sposoben velikih stvari.","Vem, da sem sposobna velikih stvari."
DeepL,sl,"As a team leader, I provided guidance to the younger team members.",13,Kot vodja ekipe sem usmerjal mlajše člane ekipe.,Kot vodja ekipe sem usmerjala mlajše člane ekipe.
DeepL,sl,I planned the trip a month in advance.,11,Potovanje sem načrtoval mesec dni vnaprej.,Potovanje sem načrtovala mesec dni vnaprej.
DeepL,sl,I had a fearless mindset.,8,Imel sem neustrašno miselnost.,Imela sem neustrašno miselnost.
DeepL,sl,I struggled with excerting my dominance.,6,Težko sem uveljavljal svojo prevlado.,Težko sem uveljavljala svojo prevlado.
DeepL,sl,They said I did a good job.,10,"Rekli so, da sem dobro opravil svoje delo.","Rekli so, da sem dobro opravila svoje delo."
DeepL,sl,I cracked a joke that was not taken well.,14,"Izustil sem šalo, ki ni bila dobro sprejeta.","Izrekla sem šalo, ki ni bila dobro sprejeta."
DeepL,sl,I followed my goals and that's why I made it.,11,Sledil sem svojim ciljem in zato mi je uspelo.,Sledila sem svojim ciljem in zato mi je uspelo.
DeepL,sl,I love buying things spontaneously.,1,Rad kupujem stvari spontano.,Rada kupujem stvari spontano.
DeepL,sl,I won an award for the job.,10,Za to delo sem prejel nagrado.,Za to delo sem dobila nagrado.
DeepL,sl,I'm naturally better at technical subjects.,11,Po naravi sem boljši pri tehničnih predmetih.,Po naravi sem boljša pri tehničnih predmetih.
DeepL,sl,"I had to get a job, or we wouldn't have anything to eat.",12,"Moral sem dobiti službo, sicer ne bi imeli kaj jesti.","Morala sem dobiti službo, sicer ne bi imeli kaj jesti."
DeepL,sl,I gave up easily without a fight.,6,Zlahka sem se predal brez boja.,Zlahka sem se predala brez boja.
DeepL,sl,I could never wear such a sweaty shirt.,4,Nikoli ne bi mogel nositi tako prepotene majice.,Nikoli ne bi mogla nositi tako prepotene majice.
DeepL,sl,I'm always ready for any challenge.,8,Vedno sem pripravljen na vsak izziv.,Vedno sem pripravljena na vsak izziv.
DeepL,sl,I am determined to take risks.,9,Odločen sem tvegati.,Odločena sem tvegati.
DeepL,sl,I was hoping we could move to the intimate stuff already.,15,"Upal sem, da bomo lahko že prešli na intimne stvari.","Upala sem, da bomo lahko že prešli na intimne stvari."
DeepL,sl,I went to a beautician yesterday.,7,Včeraj sem bil pri kozmetičarki.,Včeraj sem bila pri kozmetičarki.
DeepL,sl,I never feel like I'm too old for something.,14,"Nikoli nimam občutka, da sem za kaj prestar.","Nikoli nimam občutka, da sem za kaj prestarela."
DeepL,sl,I subscribed to yet another fashion magazine.,7,Naročil sem se na še eno modno revijo.,Naročila sem se na še eno modno revijo.
DeepL,sl,I used to have so many contacts in my phone.,5,Včasih sem imel v telefonu toliko stikov.,Včasih sem imela v telefonu toliko stikov.
DeepL,sl,I did drugs.,8,Bral sem droge.,Uživala sem droge.
DeepL,sl,All my life I have been preparing for this moment.,9,Vse življenje sem se pripravljal na ta trenutek.,Vse življenje sem se pripravljala na ta trenutek.
DeepL,sl,I like watching Sasha Grey.,15,Rad gledam Sasho Grey.,Rada gledam Sasho Grey.
DeepL,sl,"My nephew has skin problems, so I paid for his holiday by the sea.",12,"Moj nečak ima težave s kožo, zato sem mu plačal počitnice na morju.","Moj nečak ima težave s kožo, zato sem mu plačala počitnice na morju."
DeepL,sl,I like nice clothes.,7,Rad imam lepa oblačila.,Rada imam lepa oblačila.
DeepL,sl,I am sure about my abilities.,9,Prepričan sem o svojih sposobnostih.,Prepričana sem o svojih sposobnostih.
DeepL,sl,I initiated conversations with strangers at a social gathering.,5,Na družabnem srečanju sem začel pogovore z neznanci.,Na družabnem srečanju sem začela pogovore z neznanci.
DeepL,sl,I used to always finish all my assignment on time.,2,Včasih sem vse svoje naloge vedno opravil pravočasno.,Včasih sem vse svoje naloge vedno opravila pravočasno.
DeepL,sl,I came to visit them at the hospital almost every day.,3,Skoraj vsak dan sem ju obiskoval v bolnišnici.,Skoraj vsak dan sem ju obiskovala v bolnišnici.
DeepL,sl,"I wanted to stay in touch with everyone from my highschool, but it was not possible.",5,"Želel sem ostati v stiku z vsemi iz srednje šole, vendar to ni bilo mogoče.","Želela sem ostati v stiku z vsemi iz srednje šole, vendar to ni bilo mogoče."
DeepL,sl,It's alright - I wanted to treat you anyway.,12,Nič hudega - vseeno sem te želel pogostiti.,Nič hudega - vseeno sem te hotela pogostiti.
DeepL,sl,I made the most rational choice.,11,Odločil sem se najbolj razumno.,Odločila sem se najbolj razumno.
DeepL,sl,I didn't know that taking care of a family would be so difficult.,12,"Nisem vedel, da bo skrb za družino tako težka.","Nisem vedela, da bo skrb za družino tako težka."
DeepL,sl,People tell me I'm restless because I constatnly need to be doing something.,4,"Ljudje mi pravijo, da sem nemiren, ker moram nenehno nekaj početi.","Ljudje mi pravijo, da sem nemirna, ker moram nenehno nekaj početi."
DeepL,sl,I was sacked because I kept coming late.,14,"Odpustili so me, ker sem zamujal.","Odpustili so me, ker sem zamujala."
DeepL,sl,I gave the inheritance to my children.,12,Dediščino sem dal svojim otrokom.,Dediščino sem dala svojim otrokom.
DeepL,sl,I bought a dangerous dog breed.,8,Kupil sem nevarno pasmo psov.,Kupila sem nevarno pasmo psov.
DeepL,sl,Nobody appreciated how tanned I got during the summer.,7,"Nihče ni cenil, kako zagorel sem poleti.","Nihče ni cenil, kako zagorela sem poleti."
DeepL,sl,I wish I could host more parties at my place.,5,"Želim si, da bi lahko pri sebi gostil več zabav.","Želim si, da bi lahko pri sebi gostila več zabav."
DeepL,sl,I was at a congress with colleagues last week.,10,Prejšnji teden sem bil s kolegi na kongresu.,Prejšnji teden sem bila s kolegi na kongresu.
DeepL,sl,I am the one who manages the family finances.,12,"Jaz sem tisti, ki upravlja družinske finance.","Jaz sem tista, ki upravlja družinske finance."
DeepL,sl,"I had to ask them to change my glass, it was really dirty.",4,"Moral sem jih prositi, naj mi zamenjajo steklo, saj je bilo zelo umazano.","Morala sem jih prositi, naj mi zamenjajo steklo, saj je bilo zelo umazano."
DeepL,sl,I'm not as stupid as they think I am.,1,"Nisem tako neumen, kot mislijo, da sem.","Nisem tako neumna, kot mislijo, da sem."
DeepL,sl,I joined a self-defence course.,6,Vpisal sem se na tečaj samoobrambe.,Vpisala sem se na tečaj samoobrambe.
DeepL,sl,I could easily join the army.,8,Zlahka bi se pridružil vojski.,Zlahka bi se pridružila vojski.
DeepL,sl,I had to shave my legs before the race.,4,Pred tekmo sem si moral obrijeti noge.,Pred tekmo sem si morala obrijeti noge.
DeepL,sl,"They think I'm shy, but I just don't want to embarrass myself.",1,"Mislijo, da sem sramežljiv, vendar se nočem spraviti v zadrego.","Mislijo, da sem sramežljiva, vendar se nočem spraviti v zadrego."
DeepL,sl,I had tough military training.,16,Imel sem težko vojaško usposabljanje.,Imela sem težko vojaško usposabljanje.
DeepL,sl,We won the competition thanks to the idea I had a month ago.,13,"Na natečaju smo zmagali zaradi ideje, ki sem jo imel pred mesecem dni.","Na natečaju smo zmagali zaradi ideje, ki sem jo imela pred mesecem dni."
DeepL,sl,I like to have fun.,14,Rad se zabavam.,Rada se zabavam.
DeepL,sl,I wish I had passed the physical test!,6,"Želim si, da bi opravil fizični test!","Želim si, da bi opravila fizični test!"
DeepL,sl,I hated logic because it often wasn't romantic.,1,"Sovražil sem logiko, ker pogosto ni bila romantična.","Sovražila sem logiko, ker pogosto ni bila romantična."
DeepL,sl,I almost started crying.,1,Skoraj sem začel jokati.,Skoraj sem začela jokati.
DeepL,sl,I have never believed in superstitions.,11,Nikoli nisem verjel v vraževerja.,Nikoli nisem verjela v vraževerja.
DeepL,sl,I could not stop thinking about the sex we had last night.,15,"Nisem mogel nehati razmišljati o seksu, ki sva ga imela sinoči.","Nisem mogla nehati razmišljati o seksu, ki sva ga imela sinoči."
DeepL,sl,I have always wanted to behave as they expected me to.,2,"Vedno sem se želel obnašati tako, kot so od mene pričakovali.","Vedno sem se želela obnašati tako, kot so od mene pričakovali."
DeepL,sl,I always made sure that my partners favourite snacks were in the cupboard.,3,"Vedno sem poskrbel, da so bili v omari najljubši prigrizki mojih partnerjev.","Vedno sem poskrbela, da so bili v omari najljubši prigrizki mojih partnerjev."
DeepL,sl,I thought therapy was for weak people.,11,"Mislil sem, da je terapija namenjena šibkim ljudem.","Mislila sem, da je terapija namenjena šibkim ljudem."
DeepL,sl,"When I'm sad, I go shopping.",7,"Ko sem žalosten, grem po nakupih.","Ko sem žalostna, grem po nakupih."
DeepL,sl,"When I'm with him, I'm angry.",1,"Ko sem z njim, sem jezen.","Ko sem z njim, sem jezna."
DeepL,sl,I always took taking care of my family's finances seriously.,12,Vedno sem resno skrbel za družinske finance.,Vedno sem resno skrbela za družinske finance.
